database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	AKI_8_24_01_110722	AKI_8_24_03_110722	AKI_8_24_07_110722	AKI_8_24_09_110722	AKI_8_24_10_110722	AKI_8_24_11_110722	AKI_8_24_12_110722	AKI_8_24_13_110722	AKI_8_24_14_110722	AKI_8_24_16_110722	AKI_8_24_19_110722	AKI_8_24_20_110722	AKI_8_24_21_110722	AKI_8_24_22_110722	AKI_8_24_23_110722	AKI_8_24_24_110722	AKI_8_24_26_110722	AKI_8_24_27_110722	AKI_8_24_30_110722	AKI_8_24_31_110722	AKI_8_24_32_110722	AKI_8_24_33_110722	AKI_8_24_34_110722	AKI_8_24_37_110729	AKI_8_24_39_110729	AKI_8_24_40_110729	AKI_8_24_41_110729	AKI_8_24_42_110729	AKI_8_24_43_110729	AKI_8_24_44_110729	AKI_8_24_50_110729_2	AKI_8_24_51_110729	AKI_8_24_52_110729	AKI_8_24_53_110729	AKI_8_24_55_110729	AKI_8_24_56_110729	AKI_8_24_57_110729	AKI_8_24_58_110729	AKI_8_24_59_110729	AKI_8_24_60_110729	AKI_8_24_61_110729	AKI_8_24_63_110729	AKI_8_24_64_110729	AKI_8_24_66_110729	AKI_8_24_67_110729	AKI_8_24_68_110729	AKI_8_24_69_110729	AKI_8_24_72_110729	AKI_8_24_73_110812	AKI_8_24_77_110812	AKI_8_24_78_110812	AKI_8_24_79_110812	AKI_8_24_81_110812	AKI_8_24_84_110812	AKI_8_24_85_110812	AKI_8_24_86_110812	AKI_8_24_87_110812	AKI_8_24_88_110812	AKI_8_24_91_110812	AKI_8_24_93_110812	AKI_8_24_95_110812	AKI_8_24_096_110812_B	AKI_8_24_97_110812	AKI_8_24_100_110812	AKI_8_24_101_110812	AKI_8_24_102_110812	AKI_8_24_104_110812	AKI_8_24_105_110812	AKI_8_24_107_110812	AKI_8_24_108_110812	AKI_8_24_109_110812	AKI_8_24_110_110812	AKI_8_24_02_110722	AKI_8_24_04_110722	AKI_8_24_05_110722	AKI_8_24_06_110722	AKI_8_24_08_110722	AKI_8_24_15_110722	AKI_8_24_17_110722	AKI_8_24_18_110722	AKI_8_24_28_110722	AKI_8_24_29_110722	AKI_8_24_35_110722	AKI_8_24_36_110722	AKI_8_24_38_110729	AKI_8_24_45_110729	AKI_8_24_46_110729	AKI_8_24_48_110729	AKI_8_24_49_110729	AKI_8_24_62_110729	AKI_8_24_65_110729	AKI_8_24_70_110729	AKI_8_24_71_110729	AKI_8_24_74_110812	AKI_8_24_75_110812	AKI_8_24_76_110812	AKI_8_24_80_110812	AKI_8_24_82_110812	AKI_8_24_89_110812	AKI_8_24_90_110812	AKI_8_24_92_110812	AKI_8_24_94_110812_2	AKI_8_24_98_110812	AKI_8_24_99_110812	AKI_8_24_103_110812	AKI_8_24_106_110812
					9.5		NCBITaxon:xon_9606	Homo sapiens										-0.005177543	-0.004919648	-0.005893061	-0.005177543	-0.002776946	-0.005177543	-0.002621702	-0.005558847	-0.004168771	-0.001483233	-0.005893061	-0.004661965	-0.004944142	-0.003574701	-0.004944142	-0.006054942	-0.003059975	-0.005558847	-0.005177543	-0.003609854	-0.00409559	-0.006054942	-0.004944142	-0.005558847	-0.003709802	-0.001025185	-0.00409559	0.022912194	-0.003514076	-0.001762167	-0.003274869	-0.001287208	0.006193744	-0.003989044	-0.003059975	-0.004919648	-0.005558847	-0.005893061	-0.003989044	-0.003514076	-0.008815806	-0.002972749	-0.003207515	-0.004919648	-0.004919648	-0.00442684	-0.001433214	-0.004944142	-0.005893061	-0.003709802	-0.003989044	-0.00409559	-0.004944142	-0.004919648	-0.008815806	-0.004919648	-0.004079369	-0.002208407	-0.003298371	-0.002307128	-0.003514076	-0.004637999	-0.002437107	-0.001347558	-0.006054942	-0.004919648	-0.003709802	-0.004919648	-0.003207515	-0.002336111	-0.001797208	-0.004079369	-0.006054942	-0.002869423	-0.003059975	-0.005558847	-0.003207515	-0.002437107	-0.001797208	-0.00409559	-0.001266622	-0.006644245	-0.005893061	-0.001591698	-0.001854789	-0.004919648	-0.002336111	-0.004999438	-0.003207515	-0.003425984	-0.004517689	-0.002776946	-0.004168771	-0.001797208	-0.002208407	-0.004079369	-0.006054942	-0.004079369	0.009061304	-0.004944142	-0.006644245	-0.001347558	-0.006054942	-0.002621702	-0.004637999	-0.004637999
					9.49		NCBITaxon:xon_9606	Homo sapiens										-0.004944142	-0.006054942	-0.004999438	-0.005893061	-0.001546187	-0.004637999	-0.001266622	-0.004661965	-0.003574701	-0.001675692	-0.003274869	-0.005893061	-0.003274869	-0.004168771	-0.005558847	-0.006644245	-0.003882386	-0.003425984	-0.004944142	-0.005177543	-0.002208407	-0.002776946	-0.005177543	-0.003989044	-0.005558847	-0.001287208	-0.002487738	0.022325036	-0.002237695	-0.001352823	-0.005893061	-0.001296369	0.006099568	-0.008815806	-0.004944142	-0.002487738	-0.00442684	-0.004944142	-0.003207515	-0.004944142	-0.004999438	-0.00442684	-0.003298371	-0.003574701	-0.006054942	-0.002869423	-0.002869423	-0.004919648	-0.004919648	-0.004944142	-0.004661965	-0.005558847	-0.005893061	-0.005177543	-0.006054942	-0.006054942	-0.003882386	-0.002869423	-0.002972749	-6.86E-4	-0.003138624	-0.004919648	-0.003514076	-0.003574701	-0.004637999	-0.001762167	-0.004637999	-0.003207515	-0.008815806	-0.003574701	-0.002972749	-0.002621702	-0.006644245	-0.004919648	-0.001797208	-0.003989044	-0.003514076	-0.00409559	-0.006644245	-0.005893061	-0.003059975	-0.003882386	-0.003709802	-0.003958924	-0.002776946	-0.005558847	-0.001591698	-0.003298371	-0.001797208	-0.003207515	-0.003207515	-0.003958924	-0.004999438	-0.003609854	-0.004637999	-0.004944142	-0.001483233	-0.006054942	0.008979229	-0.00268277	-0.001546187	-0.003609854	-0.00268277	-0.004661965	-0.001591698	-0.003609854
					9.48		NCBITaxon:xon_9606	Homo sapiens										-0.005558847	-0.008815806	-0.004637999	-0.004999438	-0.003207515	-0.004944142	-0.001433214	-0.003274869	-0.00442684	-0.002487738	-0.004168771	-0.002307128	-0.004999438	-0.003298371	-0.006644245	-0.003555979	-0.002776946	-0.00124676	-0.00409559	-0.004079369	-0.001070019	-0.002869423	-0.004168771	-0.003298371	-0.00268277	-0.001352823	-0.003882386	0.021739873	-0.003138624	-0.004079369	-0.008815806	-0.001513363	0.005881408	-0.006644245	-0.006054942	-0.001347558	-0.001131328	-0.003574701	-0.003059975	-0.002972749	-0.003609854	-0.001797208	-0.005177543	-0.005558847	-0.008815806	-0.005893061	-0.00268277	-0.001854789	-0.005177543	-0.002437107	-0.002972749	-0.004079369	-0.004919648	-0.004944142	-0.006644245	-0.003709802	-0.004661965	-0.004637999	-0.004637999	-0.004661965	-0.00442684	-0.001266622	-0.005177543	-0.001546187	-0.003274869	-0.002972749	-0.003989044	-0.002776946	-0.004637999	-0.005893061	-0.008815806	-0.003574701	-0.004637999	-0.00268277	-0.004944142	-0.008815806	-0.003882386	-0.003882386	-0.002869423	-0.004168771	-0.002237695	-0.008815806	-0.004661965	-0.002437107	-0.003555979	-0.00212872	-0.001352823	-0.004944142	-0.005893061	-0.004944142	-0.003574701	-0.005893061	-0.004517689	-0.004944142	-0.003958924	-0.003207515	-0.004637999	-0.008815806	0.008821296	-0.003574701	-0.003555979	-0.002776946	-0.003989044	-0.001854789	-0.006054942	-0.002208407
					9.47		NCBITaxon:xon_9606	Homo sapiens										-0.003709802	-0.003274869	-0.003709802	-0.00442684	-0.003882386	-0.005558847	-0.001762167	-0.003298371	-0.003514076	-0.001591698	-0.005558847	-0.003574701	-0.003298371	-0.00409559	-0.002972749	-0.003709802	-0.004919648	-0.001854789	-0.003989044	-0.004517689	-0.001797208	-0.006644245	-0.003514076	-0.003555979	-0.004079369	-0.001433214	-0.003425984	0.021443945	-0.003574701	-0.002487738	-0.004168771	-0.001086507	0.005554104	-0.003555979	-0.004999438	-0.002972749	-0.006644245	-0.002869423	-0.00442684	-0.003609854	-0.001352823	-0.003059975	-0.002336111	-0.003207515	-0.003709802	-0.003207515	-0.00442684	-0.003882386	-0.006054942	-0.003958924	-0.001797208	-0.005893061	-0.006054942	-0.003989044	-0.002972749	-0.005558847	-0.004168771	-0.005177543	-0.004999438	-0.001149798	-0.005558847	-0.004661965	-0.004919648	-0.001025185	-0.003298371	-0.002208407	-0.004079369	-0.006644245	-0.003609854	-0.004919648	-0.001409795	-0.003609854	-0.003555979	-0.003514076	-0.00212872	-0.004517689	-0.004168771	-0.005558847	-0.003514076	-0.004661965	-0.002776946	-0.001762167	-0.003207515	-0.004168771	-0.00268277	-0.003059975	-0.008815806	-0.003709802	-0.008815806	-0.002776946	-0.00124676	-0.004517689	-0.003555979	-0.002776946	-0.003207515	-0.006054942	-0.002972749	-0.004919648	0.008685681	-0.004168771	-0.004661965	-0.005558847	-0.003709802	-0.002869423	-0.002869423	-0.002869423
					9.46		NCBITaxon:xon_9606	Homo sapiens										-0.004637999	-0.003609854	-0.003609854	-0.004637999	-0.001409795	-0.004517689	-0.001409795	-0.002869423	-0.001854789	-0.002336111	-0.002437107	-0.005177543	-0.00212872	-0.002621702	-0.003574701	-0.001391696	-0.004999438	-0.002336111	-0.003274869	-0.00409559	-0.004661965	-0.004999438	-0.001546187	-0.00442684	-0.003555979	-0.001158594	-0.001797208	0.02105115	-0.001352823	-0.002972749	-0.001854789	-9.38E-4	0.006276601	-0.001287208	-0.008815806	-0.001304609	-0.001347558	-0.003882386	-0.003514076	-0.00442684	-0.003059975	-0.00409559	-0.003514076	-0.002869423	-0.002869423	-0.001287208	-0.008815806	-0.002336111	-0.003514076	-0.003138624	-0.001762167	-0.003574701	-0.003882386	-0.003274869	-0.002487738	-0.002869423	-0.003555979	-0.001675692	-0.003609854	-0.001170135	-0.005177543	-0.001762167	-0.003207515	-0.001103745	-0.004999438	-0.004168771	-0.003958924	-0.006054942	-0.004661965	-0.002437107	-0.002869423	-0.005893061	-0.001513363	-0.003425984	-0.003555979	-0.001483233	-0.003274869	-0.00212872	-0.002776946	-0.002487738	-0.001762167	-0.005893061	-0.002776946	-0.00268277	-0.003882386	-0.003882386	-0.005893061	-0.003882386	-0.003514076	-0.00124676	-0.001086507	-0.003514076	-0.002869423	-0.001513363	-0.001304609	-0.008815806	-0.004079369	-0.003207515	0.008615643	-0.002208407	-0.001854789	-0.001304609	-0.002869423	-0.003574701	-0.002487738	-0.004999438
					9.45		NCBITaxon:xon_9606	Homo sapiens										-0.002307128	-0.004168771	-0.003958924	-0.003138624	-0.002972749	-0.008815806	-0.001185199	-0.004079369	-0.002776946	-9.91E-4	-0.001229226	-0.002487738	-0.004919648	-0.003958924	-0.003882386	-0.003298371	-0.004079369	-0.003059975	-0.003514076	-0.001762167	-0.002487738	-0.003609854	-0.003555979	-0.008815806	-0.004999438	-0.001347558	-0.001266622	0.020768149	-0.001391696	-0.003514076	-0.002487738	-9.75E-4	0.005658538	-0.003274869	-0.005893061	-0.003274869	-0.002776946	-0.003425984	-0.003609854	-0.003298371	-0.001170135	-0.002336111	-0.003138624	-0.004999438	-0.001762167	-0.004944142	-0.00232162	-0.003059975	-0.005558847	-0.003555979	-0.001296369	-0.003298371	-0.008815806	-0.006054942	-0.003958924	-0.003555979	-0.002621702	-0.002307128	-0.003207515	-0.002776946	-0.004661965	-0.004168771	-0.004637999	-0.003609854	-0.004168771	-0.001854789	-0.002621702	-0.002972749	-0.003425984	-0.002208407	-0.004999438	-0.004637999	-0.001797208	-0.001675692	-0.002972749	-0.003298371	-0.006644245	-0.002776946	-0.001591698	-0.002869423	-0.001103745	-0.004919648	-0.002437107	-0.003574701	-0.004079369	-0.008815806	-0.004999438	-0.002869423	-0.004919648	-0.005177543	-0.001762167	-0.004999438	-0.002621702	-0.001854789	-0.008815806	-0.004661965	-0.003574701	-0.005177543	0.008557896	-0.001352823	-0.005893061	-0.001483233	-0.002437107	-0.00409559	-0.002621702	-0.004944142
					9.44		NCBITaxon:xon_9606	Homo sapiens										-0.003958924	-0.004944142	-0.003274869	-0.006644245	-0.001170135	-0.006054942	-0.00124676	-0.003882386	-0.003958924	-0.001304609	-0.003514076	-0.003425984	-0.003958924	-0.003207515	-0.00268277	-0.003207515	-0.008815806	-0.001675692	-0.004079369	-0.001296369	-0.003574701	-0.001070019	-0.001061396	-0.002972749	-0.003138624	-0.001198832	-0.002869423	0.020382102	-0.003958924	-0.003958924	-0.003207515	-0.001051544	0.005432647	-0.001854789	-0.004168771	-0.003207515	-0.00409559	-0.004168771	-0.004168771	-0.002307128	-0.004168771	-0.001287208	-0.001546187	-0.003989044	-0.003609854	-0.003059975	-0.003709802	-0.001409795	-0.002237695	-0.002223051	-0.001675692	-0.003514076	-0.004079369	-0.002972749	-0.003989044	-0.005177543	-0.002237695	-0.003138624	-0.003958924	-9.38E-4	-0.003207515	-0.004517689	-0.003274869	-0.001051544	-0.003709802	-0.001546187	-0.004168771	-0.002307128	-0.003958924	-0.001675692	-0.004661965	-0.002208407	-0.00212872	-0.002336111	-0.00268277	-0.003882386	-0.001675692	-0.005893061	-0.005558847	-0.003555979	-0.002487738	-0.002621702	-0.006054942	-0.005558847	-0.002208407	-0.004944142	-8.74E-4	-0.003989044	-0.006644245	-0.002336111	-0.001185199	-0.003709802	-0.003138624	-0.003207515	-0.001483233	-0.005893061	-0.002208407	-0.003958924	0.008488692	-0.003958924	-0.006054942	-0.002437107	-0.005558847	-0.00442684	-0.003609854	-0.001483233
					9.43		NCBITaxon:xon_9606	Homo sapiens										-0.001675692	-0.005558847	-0.004661965	-0.005558847	-0.008815806	-0.003958924	-0.001296369	-0.00409559	-0.003882386	-0.001266622	-0.001391696	-0.001675692	-0.002487738	-0.003609854	-0.003609854	-0.003059975	-0.004168771	-0.001409795	-0.003574701	-0.004944142	-0.001675692	-0.004517689	-0.003882386	-0.005177543	-0.004517689	-0.001229226	-0.001854789	0.02003025	-0.002869423	-0.001675692	-0.003555979	-0.001198832	0.005245634	-0.002869423	-0.005177543	-0.005558847	-0.001409795	-0.004661965	-0.004944142	-0.001347558	-0.003574701	-0.004944142	-0.001591698	-0.002776946	-0.002307128	-0.002487738	-0.004944142	-0.003425984	-0.002972749	-0.00268277	-0.002869423	-0.004637999	-0.003059975	-0.002237695	-0.003059975	-0.003059975	-0.001546187	-0.004168771	-0.001762167	-0.001086507	-0.003882386	-0.005177543	-0.003709802	-0.001149798	-0.004517689	-0.001483233	-0.008815806	-0.004079369	-0.003138624	-0.003425984	-0.003138624	-0.004999438	-0.004661965	-0.003574701	-0.003709802	-0.006644245	-0.003059975	-0.003059975	-0.001762167	-0.005177543	-0.001513363	-0.00409559	-0.004919648	-0.006054942	-0.004637999	-0.005893061	-0.001198832	-0.008815806	-0.006054942	-0.002972749	-0.001229226	-0.003425984	-0.003207515	-0.004168771	-0.004517689	-0.004999438	-0.003989044	-0.003425984	0.008360037	-0.001287208	-0.003274869	-0.004944142	-0.004919648	-0.002307128	-0.004517689	-0.00442684
					9.42		NCBITaxon:xon_9606	Homo sapiens										-0.00409559	-0.002437107	-0.002776946	-0.00409559	-0.002336111	-0.003514076	-0.001529775	-0.004944142	-0.005558847	-0.001854789	-9.75E-4	-0.001352823	-0.003138624	-0.001591698	-0.004517689	-0.004079369	-0.003958924	-0.002869423	-0.001304609	-0.003059975	-0.003989044	-0.00409559	-0.002437107	-0.003574701	-0.001591698	-0.001185199	-0.001352823	0.019769446	-0.001513363	-0.001347558	-0.002621702	-0.001070019	0.005141156	-0.001433214	-0.003609854	-0.002437107	-0.00124676	-0.003958924	-0.001797208	-0.005558847	-0.002776946	-0.002208407	-0.001229226	-0.001483233	-0.004079369	-0.001185199	-0.00409559	-0.001513363	-0.001591698	-0.003298371	-0.002621702	-0.001546187	-0.003989044	-0.002437107	-0.001762167	-0.006644245	-0.001762167	-0.002621702	-0.005558847	-0.00212872	-0.005893061	-0.001170135	-0.001352823	-0.001229226	-0.004919648	-0.003574701	-0.003555979	-0.004637999	-0.003555979	-0.002972749	-0.003574701	-0.00442684	-0.001304609	-0.004637999	-0.003514076	-0.002437107	-0.005558847	-0.004517689	-0.004919648	-0.004517689	-0.001483233	-0.003138624	-0.001433214	-0.001025185	-0.005558847	-0.004517689	-0.001762167	-0.004637999	-0.001433214	-0.00409559	-9.38E-4	-0.004168771	-0.002437107	-0.001675692	-0.003059975	-0.002307128	-0.002307128	-9.91E-4	0.008290807	-0.001001457	-0.002487738	-0.004999438	-0.003274869	-0.005558847	-0.001854789	-0.003882386
					9.41		NCBITaxon:xon_9606	Homo sapiens										-0.00268277	-0.001513363	-0.001546187	-0.003059975	-0.002869423	-0.003709802	-0.001797208	-0.003207515	-0.003207515	-0.001131328	-0.001131328	-0.00124676	-0.001198832	-0.001070019	-0.004919648	-0.00268277	-0.002336111	-0.003989044	-0.00124676	-0.001304609	-0.001170135	-0.002437107	-0.00409559	-0.003958924	-0.004168771	-0.001296369	-9.16E-4	0.01940856	-0.001061396	-0.002437107	-0.001347558	-8.43E-4	0.004953236	-0.001352823	-0.003514076	-0.002336111	-0.001086507	-0.003207515	-0.004517689	-0.001483233	-0.003989044	-0.003274869	-0.001185199	-0.003609854	-0.004637999	-0.001675692	-0.001762167	-0.002776946	-0.001675692	-0.002307128	-9.91E-4	-0.001391696	-0.002307128	-0.001409795	-0.00268277	-0.004661965	-0.001287208	-0.002237695	-0.00442684	-0.00124676	-0.002869423	-0.001061396	-0.001433214	-0.002307128	-0.003609854	-0.003059975	-0.001546187	-0.003274869	-0.002621702	-0.001483233	-0.001483233	-0.00268277	-0.001131328	-0.002972749	-0.001025185	-0.00124676	-9.16E-4	-0.002336111	-0.002237695	-0.004999438	-0.002621702	-0.002336111	-0.003425984	-0.001158594	-0.002336111	-0.004999438	-0.003298371	-0.004168771	-0.005177543	-0.001675692	-9.75E-4	-0.004637999	-0.003298371	-0.00442684	-0.004919648	-0.003298371	-0.001546187	-0.001198832	0.008225711	-0.001546187	-0.003958924	-0.001546187	-0.004079369	-0.001675692	-0.00268277	-0.008815806
