Metabolite,Fold_Change,Log2_FC,P_value,Direction,-Log10_P
M118,-0.6413771078295151,0.0,8.813113816280216e-05,Down,4.054870621178996
M612,-0.40110391965085374,0.0,0.0001123597157558968,Down,3.9493893681337
M527,-0.3920940711267263,0.0,0.0013374921483009818,Down,2.8737087588092134
M505,-0.018662087737567865,0.0,0.001355710644673034,Down,2.8678329939730265
M529,-0.02258516835752818,0.0,0.0020341964703063245,Down,2.6916071036014695
M504,-0.015764213736799745,0.0,0.0020498271777808384,Down,2.6882827530418267
M532,-0.20316165357043875,0.0,0.002573036818434104,Down,2.589553999281935
M142,-1.2174468051794027,0.0,0.0037036062601967044,Down,2.4313751904871945
M179,-1.0029608358238635,0.0,0.004252328975558837,Down,2.3713731442561765
M183,-0.20837287429358253,0.0,0.0044075895920448254,Down,2.3557988511363575
M646,-0.4158021781369617,0.0,0.004572543885319914,Down,2.339842117658913
M141,-1.09730487642075,0.0,0.005183512810010946,Down,2.2853758238555937
M143,-1.1569244970524284,0.0,0.005996837584256319,Down,2.2220777132460015
M635,-1.5704175655985548,0.0,0.006065819348280131,Down,2.217110527954363
M207,-0.21786742644818974,0.0,0.006218302833932745,Down,2.2063281314560057
M285,-0.8203360641498156,0.0,0.007207948323831604,Down,2.1421883356187865
M585,-0.7227087618970396,0.0,0.007455094127854919,Down,2.127546868783768
M259,-0.7273626114769406,0.0,0.007548650844944973,Down,2.122130662007051
M146,-0.6257274082797613,0.0,0.007636842495160031,Down,2.1170861663423084
M639,-0.6311498380635868,0.0,0.007889755185057468,Down,2.1029364725102457
M440,0.10347474581360308,-3.272649390304708,0.00811273385583389,Down,2.0908327711364865
M647,-0.23843192411086636,0.0,0.008770285434142499,Down,2.0569862720323866
M649,-0.26415076420971095,0.0,0.009170498414610626,Down,2.0376070598771165
M177,-1.3483583095940659,0.0,0.009185835990911571,Down,2.036881312987109
M588,-0.5691328622899949,0.0,0.010479340700421983,Down,1.9796660397927106
M586,-0.3280942738518133,0.0,0.010660663241365609,Down,1.9722157753183622
M422,-0.09964198830906008,0.0,0.011991476581659452,Down,1.9211273363520778
M614,-0.32247356868311305,0.0,0.012316073615353966,Down,1.9095277239060218
M613,-0.2870694389200685,0.0,0.013003001953778457,Down,1.8859563721965862
M633,-1.2870417318320135,0.0,0.013341996230597413,Down,1.8747791863810053
M584,-0.948885055614565,0.0,0.014479670445381149,Down,1.8392413224884006
M587,-0.6459372192421864,0.0,0.01453037020164975,Down,1.837723320699532
M208,-0.044751984959592185,0.0,0.015589664223092665,Down,1.8071632387321608
M567,-0.226470233383016,0.0,0.01782637261129182,Down,1.7489370199861083
M188,-0.30041043934582334,0.0,0.01789978606600352,Down,1.7471521595737036
M503,-0.0981432424051676,0.0,0.020085695813996343,Down,1.6971131187271944
M557,-0.2014841214034247,0.0,0.021222562141907972,Down,1.6732021860839847
M319,-1.372921146700245,0.0,0.022432463104667046,Down,1.6491230378733235
M187,-0.466340226926578,0.0,0.022724311821694498,Down,1.6435092599900913
M644,-0.39861879550577706,0.0,0.022971559552518186,Down,1.6388095192994863
M338,-1.1102023831546934,0.0,0.024297345642028633,Down,1.6144411682117652
M611,-0.31082995820609893,0.0,0.024981079521946288,Down,1.6023887981358504
M237,-0.4309802482117529,0.0,0.026233310919260518,Down,1.5811468934271404
M645,-0.21355875536239308,0.0,0.026963715323221615,Down,1.5692202666914803
M280,-0.8389760968319874,0.0,0.02825057069985919,Down,1.5489727744181292
M137,-1.848639602304362,0.0,0.029903295929581828,Down,1.5242809412694556
M239,-2.2259723451796525,0.0,0.033034972700036455,Down,1.481026047754662
M657,-0.5257502613694269,0.0,0.03318367747947857,Down,1.4790754862880227
M474,-0.7598680218259956,0.0,0.03322695327357801,Down,1.4785094792790692
M178,-1.0522546294530815,0.0,0.033334408178571556,Down,1.4771072509647634
M147,0.13179725002360435,-2.9236078263524625,0.03704203664081529,Down,1.4313051430065324
M569,-0.16458024132630547,0.0,0.03838033235959284,Down,1.4158912687534342
M350,-0.10812471033997081,0.0,0.03862143454405689,Down,1.4131715989409517
M491,-0.2542384145422531,0.0,0.0389741959686934,Down,1.4092228354710397
M451,-0.3917209487451533,0.0,0.03922572317274904,Down,1.4064290409331424
M373,-1.9700492623375419,0.0,0.03968016818483122,Down,1.4014264957519984
M528,0.025008448349795168,-5.3214406415521225,0.040183620335199,Down,1.3959509381509905
M634,-1.418546180362604,0.0,0.0411698317840811,Down,1.385420907483801
M441,-0.9628160498613623,0.0,0.04153777208588721,Down,1.3815568009341195
M132,-1.5679097312341634,0.0,0.04270502086924129,Down,1.3695210615647417
M624,-0.06034997822141198,0.0,0.043522488234947136,Down,1.3612862834427752
M438,-0.4723783281922361,0.0,0.04496897375912618,Down,1.347087023391234
M158,-1.4900480117527668,0.0,0.04552177336267113,Down,1.3417808277504866
M431,-0.14744168589483012,0.0,0.045660929873240816,Down,1.3404552484588959
M513,0.15710386638865928,-2.67020940851938,0.04666492197891067,Down,1.3310094559506243
M616,-0.28889602080008436,0.0,0.04666956922069269,Down,1.3309662078129267
M643,-0.4863829699486999,0.0,0.047876173109889814,Down,1.3198805713750716
M161,-0.4210847549378117,0.0,0.048014336002072514,Down,1.318629072686469
M310,-0.11458019793248342,0.0,0.04924153032818687,Down,1.3076684585278957
M320,-0.6614688102058892,0.0,0.04994531285092334,Down,1.301505262162585
